id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_2476133,20-01-2023,0,1,0,0,0,0,0,0,1,17,1,0,1,0,Healthcare,Oct-49,0,0,0,,,,,0,8,0,0,10.0,0,21,2352.0,2352.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,40,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9002159,24-03-2023,0,1,0,0,0,1,0,0,0,16,1,0,5,0,Media & Entertainment,Oct-49,0,0,0,,,,,1,0,0,0,15.0,0,122,16688.76,17094.48,0.0,405.72,0.0,0.0,0.0,1,1,1,100,100,0,5.0,0.25,4.0,5.0,0,1,0.8,0.8,0,0
JMAN_2293551,31-03-2023,0,1,0,0,0,1,0,0,0,16,0,0,6,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,21.0,0,0,2229.36,2283.6,0.0,54.24,0.0,0.0,0.0,1,0,0,100,100,0,7.0,0.0,5.0,7.0,0,0,0.714285714,0.714285714,0,0
JMAN_9008366,17-02-2023,1,0,0,0,0,1,0,0,0,17,1,0,1,0,Technology,Oct-49,0,75,33,,,,,0,11,1,1,0.0,6,12042,64938.0,42630.12,-23565.72,1257.84,-19522.512,0.0,0.0,1,1,0,100,100,0,40.0,0.641025641,38.0,40.0,0,1,0.975,0.95,1,0
JMAN_2481177,17-03-2023,1,0,0,0,0,1,0,0,0,17,1,0,6,0,Technology,Oct-49,0,0,0,-100.0,-100.0,4.5,4.5,0,8,0,0,4.0,1,161,62042.4,62042.4,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,40.0,0.289473684,38.0,40.0,0,1,0.95,0.95,0,0
JMAN_18341492,24-02-2023,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Transportation,01-Sep,0,0,0,,,,,0,0,0,0,,0,0,420.0,420.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,,1.0,0,0,0.0,0.0,0,0
JMAN_2467010,17-02-2023,0,1,0,0,0,0,0,0,1,17,0,0,4,0,Financial Services,01-Sep,0,0,0,,,,,0,11,0,0,5.0,0,0,408.0,408.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_2464269,10-02-2023,0,1,0,0,0,1,0,0,0,17,0,0,5,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,12,0,0,11.0,0,144,4639.68,,-4640.28,0.6,-1329.84,-2778.48,0.0,1,1,0,100,100,0,3.0,0.5,2.0,3.0,0,1,0.666666667,0.666666667,0,0
JMAN_12581551,24-02-2023,0,1,0,0,0,0,0,0,1,4,0,0,2,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,0,0,0,,0,5,816.0,1224.0,408.0,0.0,408.0,0.0,0.0,1,1,0,100,100,0,2.0,0.5,1.0,2.0,0,1,1.0,0.5,1,0
JMAN_9970803,06-01-2023,0,1,0,0,0,0,0,0,1,16,0,0,4,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,1,6,0,0,6.0,0,13,588.0,588.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,7.0,0.0,8.0,7.0,0,1,1.0,1.0,0,0
JMAN_9181146,13-01-2023,0,1,0,0,0,0,1,0,0,15,0,0,1,0,Manufacturing & Resources,01-Sep,0,0,0,,,,,0,5,0,0,10.0,0,0,912.0,912.0,0.0,0.0,0.0,-912.0,0.0,1,0,0,100,100,0,4.0,0.25,4.0,4.0,0,0,1.0,1.0,0,0
JMAN_2402232,27-01-2023,0,1,0,0,1,1,0,0,0,17,1,0,1,0,Financial Services,50 - 99,0,100,22,,,,,0,0,0,0,19.0,3,288,77187.0,62472.12,-15287.4,572.52,-15287.4,0.0,0.0,1,1,1,100,30,0,40.0,0.033333333,29.0,40.0,0,1,0.75,0.725,1,0
JMAN_13010076,20-01-2023,0,1,0,1,0,0,0,1,0,17,1,0,2,0,Transportation,500 - 999,0,100,24,,,,,0,0,0,0,,0,319,35208.0,38322.24,0.0,3114.24,0.0,0.0,-3197.88,1,1,0,100,100,0,40.0,0.05,40.0,40.0,0,1,1.0,1.0,0,0
JMAN_10445041,03-03-2023,0,1,0,0,0,1,0,0,0,9,1,0,1,0,"Retail, Wholesale & Distribution",01-Sep,0,100,50,,,,,0,0,0,0,21.0,1,133,4752.0,4752.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.4,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_18362857,24-03-2023,0,1,0,0,0,1,0,0,0,17,0,0,1,0,"Retail, Wholesale & Distribution",01-Sep,0,0,0,,,,,0,0,0,0,,0,0,336.0,336.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,,2.0,0,0,0.0,0.0,0,0
JMAN_2475275,03-02-2023,0,1,0,0,0,1,0,0,0,17,0,0,5,0,"Retail, Wholesale & Distribution",01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,93,649.44,661.92,0.0,12.48,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,1,1.0,1.0,0,0
JMAN_9008188,24-02-2023,0,1,0,0,0,0,0,0,1,17,0,0,4,0,Corporate Services,Oct-49,0,50,17,,,,,0,12,0,0,11.0,0,0,1500.0,,-1500.0,0.0,0.0,-1500.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9056184,17-03-2023,0,1,0,0,0,0,0,0,1,17,0,0,5,0,Technology,01-Sep,0,0,0,,,,,0,11,0,0,6.0,0,0,1800.0,300.0,-1500.0,0.0,-1500.0,0.0,0.0,1,0,0,100,100,0,6.0,0.0,6.0,6.0,0,0,1.0,1.0,0,0
JMAN_2421258,13-01-2023,0,1,0,0,0,1,0,0,0,16,0,0,5,1,Telecommunications,01-Sep,0,0,0,,,,,0,5,0,0,3.0,0,0,321.6,,-321.6,0.0,0.0,-321.6,0.0,0,0,0,100,100,0,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_9017463,03-02-2023,1,0,0,0,0,0,0,1,0,17,0,0,2,0,Corporate Services,50 - 99,0,0,0,,,,,0,10,0,0,11.0,0,0,432.0,432.0,0.0,0.0,0.0,0.0,0.0,0,0,0,100,100,0,4.0,0.0,3.0,4.0,0,0,0.75,0.75,0,0
JMAN_14360401,24-02-2023,1,0,0,0,0,1,0,0,0,2,1,0,1,0,"Retail, Wholesale & Distribution",100 - 249,0,100,33,,,,,0,0,0,0,,0,9,11673.36,,-11977.32,303.96,0.0,-11977.32,-2273.28,1,1,0,100,100,0,12.0,0.4,5.0,12.0,0,1,0.416666667,0.416666667,0,0
JMAN_10601345,13-01-2023,0,1,0,0,1,0,0,0,1,16,0,0,2,0,Government,100 - 249,0,0,0,,0.0,,7.0,0,9,0,0,10.0,0,9,2784.0,2784.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,4.0,0.0,4.0,4.0,0,1,1.0,1.0,0,0
JMAN_9019035,20-01-2023,0,1,0,0,0,0,0,0,1,17,0,0,3,0,Manufacturing & Resources,Oct-49,0,0,0,,,,,0,8,0,0,10.0,0,59,1308.0,1668.0,360.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9000609,06-01-2023,1,0,0,0,0,1,0,0,0,16,1,0,4,0,Manufacturing & Resources,Oct-49,0,100,6,100.0,100.0,10.0,10.0,0,0,0,0,19.0,2,92,14451.0,11765.16,-3236.04,550.2,-1758.384,0.0,0.0,1,1,1,100,100,0,5.0,0.2,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9393166,17-03-2023,0,1,1,0,0,0,0,0,1,14,0,0,1,0,"Retail, Wholesale & Distribution",500 - 999,0,0,0,,,,,1,8,1,1,0.0,0,0,1140.0,1380.0,240.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,5.0,0.0,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_9026067,13-01-2023,0,1,0,0,0,0,1,0,0,15,0,0,1,0,Consumer Services,01-Sep,0,0,0,,,,,0,2,0,0,1.0,0,0,228.0,228.0,0.0,0.0,0.0,0.0,0.0,1,0,0,100,100,0,1.0,0.0,2.0,1.0,0,0,1.0,1.0,0,0
JMAN_2374491,17-02-2023,1,0,0,0,0,0,0,0,1,17,1,0,6,0,Healthcare,01-Sep,0,0,0,,,,,0,10,0,0,7.0,1,25,4040.04,5228.04,1188.0,0.0,1010.01,0.0,-711.96,1,1,0,-71100,120,0,4.0,0.333333333,4.0,4.0,0,1,0.75,1.0,0,1
JMAN_9345011,17-03-2023,1,0,0,0,0,0,0,1,0,14,1,0,2,0,Financial Services,Oct-49,0,0,0,,100.0,,10.0,1,10,0,0,12.0,0,528,74088.0,26400.0,-47688.0,0.0,-50568.0,0.0,0.0,1,1,0,100,100,0,126.0,0.113924051,122.0,126.0,0,1,0.626984127,0.968253968,0,1
JMAN_10744386,03-02-2023,1,0,0,0,0,1,0,0,0,8,1,0,1,0,Financial Services,100 - 249,0,0,0,,,,,0,9,1,1,0.0,20,67,900.0,917.52,0.0,17.52,0.0,0.0,0.0,1,1,0,100,100,0,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9016506,06-01-2023,0,1,0,0,0,1,0,0,0,16,0,0,6,0,Technology,Oct-49,0,0,0,,,,,0,0,0,0,13.0,0,125,8452.08,8550.84,0.0,98.76,0.0,0.0,0.0,1,1,0,100,100,0,9.0,0.333333333,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_2436197,10-03-2023,0,1,1,0,0,1,0,0,0,17,0,0,4,0,Education,1000 - 4999,0,0,0,,,,,0,17,0,0,1.0,0,0,130.68,137.04,0.0,6.36,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0
JMAN_9575933,24-02-2023,0,1,1,0,0,0,1,0,0,14,1,0,1,0,Energy & Utilities,1000 - 4999,0,86,44,-100.0,-100.0,4.0,4.0,0,8,0,0,11.0,0,22,6750.0,7222.8,472.8,0.0,0.0,0.0,0.0,1,1,1,100,100,0,5.0,0.2,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_9042096,17-03-2023,0,1,1,0,0,0,1,0,0,17,0,0,1,0,Manufacturing & Resources,250 - 499,0,100,50,,,,,0,5,0,0,3.0,1,28,10692.0,13068.0,2376.0,0.0,2376.0,0.0,0.0,1,1,0,100,100,0,9.0,0.444444444,9.0,9.0,0,1,1.0,1.0,0,0
JMAN_9327351,06-01-2023,1,0,0,0,0,0,0,0,1,14,1,0,3,0,Manufacturing & Resources,50 - 99,0,0,0,,,,,0,4,0,0,10.0,0,48,3528.0,3528.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,6.0,0.0,5.0,6.0,0,1,1.0,0.833333333,1,0
JMAN_2479425,06-01-2023,0,1,0,0,0,0,1,0,0,16,1,0,1,0,Manufacturing & Resources,01-Sep,0,100,100,,,,,0,3,0,0,1.0,93,43,9000.0,9000.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
JMAN_10951284,24-03-2023,0,1,0,0,1,1,0,0,0,7,1,0,1,0,Technology,1000 - 4999,0,0,0,,,,,0,8,1,1,0.0,29,3,36828.0,36828.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,31.0,0.0,21.0,31.0,0,1,0.709677419,0.677419355,1,0
JMAN_9086113,03-03-2023,0,1,0,1,0,0,0,1,0,17,1,0,3,0,Transportation,500 - 999,0,0,0,,,,,0,11,0,0,12.0,0,1,1152.0,1152.0,0.0,3528.96,0.0,0.0,0.0,1,0,0,100,100,0,6.0,0.0,6.0,6.0,0,0,1.0,1.0,0,0
JMAN_9021253,27-01-2023,1,0,0,0,0,1,0,0,0,17,1,0,5,0,Healthcare,100 - 249,0,0,0,,,,,1,8,0,0,3.0,0,25,4788.0,4788.0,0.0,0.0,0.0,0.0,0.0,1,1,1,100,100,0,5.0,0.8,5.0,5.0,0,0,1.0,1.0,0,0
JMAN_2481325,13-01-2023,0,1,0,0,0,0,0,0,1,16,0,0,3,0,"Retail, Wholesale & Distribution",01-Sep,0,100,50,,,,,0,9,0,0,10.0,0,85,2940.0,2940.0,0.0,0.0,0.0,0.0,0.0,1,1,0,100,100,0,5.0,0.0,5.0,5.0,0,1,1.0,1.0,0,0
