id,score_date,segment_smb,segment_non_smb,segment_commercial,segment_enterprise,segment_midmarket,region_emea,region_apac,region_latam,region_amer,customer_age_quarters,sales_assisted,legacy_flag,product_counts,billing_dunning_not_ok,crm_industry_current,crm_employee_range,crm_success_owner_change,csat_score,csat_response_rate,nps_score,nps_score_all_time,avg_nps_rating,avg_nps_rating_all_time,outreach_call_90dayflag,num_low_sev_outages,num_high_sev_outages,has_high_sev_outage,months_since_high_sev_outage,num_tickets_deflected,max_tickets_per_agent,current_arr,future_arr,arr_change,fx_impact,seat_change_arr,product_change_arr,discount_arr_usd,team_plus,pro_plus,ent_plus,discount_arr_usd_percentage,product_counts_percentage,total_pool_max_agents,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease,upsell_flag
JMAN_2449786,2023-02-03,0,1,0,0,0,1,0,0,0,17,1,0,1,0,Financial Services,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,9102.24,9504.96,0.0,402.72,0.0,0.0,0.0,1,1,0,100,100,0,11.0,0.0,2.0,11.0,0,0,0.181818182,0.181818182,0,0,1
JMAN_2451026,2023-02-03,0,1,1,0,0,1,0,0,0,17,1,0,2,0,Technology,250 - 499,0,83,19,,-100.0,,3.0,0,9,1,1,0.0,42,4112,465456.0,486049.44,0.0,41841.72,0.0,0.0,0.0,1,1,1,100,100,0,300.0,0.333333333,199.0,300.0,0,1,0.71,0.663333333,1,0,1
JMAN_2451145,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,"Retail, Wholesale & Distribution",Oct-49,0,0,0,,,,,0,0,0,0,14.0,0,72,4246.8,5520.72,1171.2,102.72,0.0,0.0,0.0,1,1,0,100,100,0,3.0,0.0,3.0,3.0,0,1,1.0,1.0,0,0,1
JMAN_2451881,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,4,0,Financial Services,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,0,831.12,847.32,0.0,16.2,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2452060,2023-02-03,1,0,0,0,0,1,0,0,0,17,0,0,5,0,Financial Services,Oct-49,0,0,0,,100.0,,10.0,0,0,0,0,14.0,3,15,8312.04,8473.08,0.0,161.04,0.0,0.0,0.0,1,1,0,100,100,0,10.0,0.1,10.0,10.0,0,1,1.0,1.0,0,0,1
JMAN_2452081,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,Corporate Services,Oct-49,0,0,0,,,,,0,0,0,0,20.0,0,23,2220.84,2263.92,0.0,43.08,0.0,0.0,0.0,1,0,0,100,100,0,9.0,0.111111111,9.0,9.0,0,1,1.0,1.0,0,0,1
JMAN_2452274,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,502.32,663.48,136.56,24.6,0.0,0.0,0.0,1,0,0,100,100,0,2.0,0.0,2.0,2.0,0,0,1.0,1.0,0,0,1
JMAN_2452339,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,3,0,,01-Sep,0,0,0,,,,,0,8,0,0,3.0,0,0,64.92,66.24,0.0,1.32,0.0,0.0,0.0,0,0,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2452556,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,5,0,,01-Sep,0,0,0,,,,,0,9,1,1,0.0,0,0,605.76,817.8,181.92,30.12,0.0,0.0,0.0,1,1,1,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
JMAN_2452632,2023-02-03,0,1,0,0,0,1,0,0,0,17,0,0,1,0,Technology,01-Sep,0,0,0,,,,,0,0,0,0,20.0,0,2,1167.36,1527.6,308.63,51.61,0.0,0.0,0.0,1,1,0,100,100,0,1.0,0.0,1.0,1.0,0,0,1.0,1.0,0,0,1
